PassengerId,Survived,SibSp,Parch,Fare,Cabin,is_male,norm_age,emb_s,emb_c,Pclass_1,Pclass_2
1,0,1,0,7.25,,1,0.2711736617240513,1,0,0,0
2,1,1,0,71.2833,C85,0,0.4722292033174164,0,1,1,0
3,1,0,0,7.925,,0,0.32143754712239253,1,0,0,0
4,1,1,0,53.1,C123,0,0.43453128926866047,1,0,1,0
5,0,0,0,8.05,,1,0.43453128926866047,1,0,0,0
7,0,0,0,51.8625,E46,1,0.6732847449107816,1,0,1,0
8,0,3,1,21.075,,1,0.01985423473234481,1,0,0,0
9,1,0,2,11.1333,,0,0.33400351847197784,1,0,0,0
10,1,1,0,30.0708,,0,0.17064589092736868,0,1,0,1
11,1,1,1,16.7,G6,0,0.04498617743151546,1,0,0,0
12,1,0,0,26.55,C103,0,0.7235486303091229,1,0,1,0
13,0,0,0,8.05,,1,0.24604171902488062,1,0,0,0
14,0,1,5,31.275,,1,0.4847951746670017,1,0,0,0
15,0,0,0,7.8542,,0,0.17064589092736868,1,0,0,0
16,1,0,0,16.0,,0,0.6858507162603669,1,0,0,1
17,0,4,1,29.125,,1,0.01985423473234481,0,0,0,0
19,0,1,0,18.0,,0,0.38426740387031916,1,0,0,0
21,0,0,0,26.0,,1,0.43453128926866047,1,0,0,1
22,1,0,0,13.0,D56,1,0.42196531791907516,1,0,0,1
23,1,0,0,8.0292,,0,0.18321186227695402,0,0,0,0
24,1,0,0,35.5,A6,1,0.3465694898215632,1,0,1,0
25,0,3,1,21.075,,0,0.09525006282985675,1,0,0,0
26,1,1,5,31.3875,,0,0.4722292033174164,1,0,0,0
28,0,3,2,263.0,C23 C25 C27,1,0.23347574767529528,1,0,1,0
31,0,0,0,27.7208,,1,0.4973611460165871,0,1,1,0
34,0,0,0,10.5,,1,0.8240764011058055,1,0,0,1
35,0,1,0,82.1708,,1,0.3465694898215632,0,1,1,0
36,0,1,0,52.0,,1,0.5224930887157577,1,0,1,0
38,0,0,0,8.05,,1,0.2586076903744659,1,0,0,0
39,0,2,0,18.0,,0,0.22090977632570996,1,0,0,0
40,1,1,0,11.2417,,0,0.17064589092736868,0,1,0,0
41,0,1,0,9.475,,0,0.4973611460165871,1,0,0,0
42,0,1,0,21.0,,0,0.33400351847197784,1,0,0,1
44,1,1,2,41.5792,,0,0.032420206081930136,0,1,0,1
45,1,0,0,7.8792,,0,0.23347574767529528,0,0,0,0
50,0,1,0,17.8,,0,0.22090977632570996,1,0,0,0
51,0,4,1,39.6875,,1,0.08268409148027142,1,0,0,0
52,0,0,0,7.8,,1,0.2586076903744659,1,0,0,0
53,1,1,0,76.7292,D33,0,0.610454888162855,0,1,1,0
54,1,1,0,26.0,,0,0.35913546117114853,1,0,0,1
55,0,0,1,61.9792,B30,1,0.8115104297562201,0,1,1,0
57,1,0,0,10.5,,0,0.2586076903744659,1,0,0,1
58,0,0,0,7.2292,,1,0.35285247549635584,0,1,0,0
59,1,1,2,27.75,,0,0.05755214878110078,1,0,0,1
60,0,5,2,46.9,,1,0.13294797687861273,1,0,0,0
61,0,0,0,7.2292,,1,0.2711736617240513,0,1,0,0
62,1,0,0,80.0,B28,0,0.4722292033174164,0,0,1,0
63,0,1,0,83.475,C83,1,0.5601910027645137,1,0,1,0
64,0,3,2,27.9,,1,0.04498617743151546,1,0,0,0
67,1,0,0,10.5,F33,0,0.35913546117114853,1,0,0,1
68,0,0,0,8.1583,,1,0.23347574767529528,1,0,0,0
69,1,4,2,7.925,,0,0.20834380497612465,1,0,0,0
70,0,2,0,8.6625,,1,0.32143754712239253,1,0,0,0
71,0,0,0,10.5,,1,0.39683337521990447,1,0,0,1
72,0,5,2,46.9,,0,0.19577783362653933,1,0,0,0
73,0,0,0,73.5,,1,0.2586076903744659,1,0,0,1
74,0,1,0,14.4542,,1,0.32143754712239253,0,1,0,0
75,1,0,0,56.4958,,1,0.39683337521990447,1,0,0,0
76,0,0,0,7.65,F G73,1,0.3088715757728072,1,0,0,0
79,1,0,2,29.0,,1,0.005152048253329982,1,0,0,1
80,1,0,0,12.475,,0,0.37170143252073384,1,0,0,0
81,0,0,0,9.0,,1,0.2711736617240513,1,0,0,0
82,1,0,0,9.5,,1,0.35913546117114853,1,0,0,0
84,0,0,0,47.1,,1,0.3465694898215632,1,0,1,0
85,1,0,0,10.5,,0,0.20834380497612465,1,0,0,1
86,1,3,0,15.85,,0,0.4093993465694898,1,0,0,0
87,0,1,3,34.375,,1,0.19577783362653933,1,0,0,0
89,1,3,2,263.0,C23 C25 C27,0,0.2837396330736366,1,0,1,0
90,0,0,0,8.05,,1,0.2963056044232219,1,0,0,0
91,0,0,0,8.05,,1,0.35913546117114853,1,0,0,0
92,0,0,0,7.8542,,1,0.24604171902488062,1,0,0,0
93,0,1,0,61.175,E31,1,0.572756974114099,1,0,1,0
94,0,1,2,20.575,,1,0.32143754712239253,1,0,0,0
95,0,0,0,7.25,,1,0.7361146016587082,1,0,0,0
97,0,0,0,34.6542,A5,1,0.8869062578537321,0,1,1,0
98,1,0,1,63.3583,D10 D12,1,0.2837396330736366,0,1,1,0
99,1,0,1,23.0,,0,0.42196531791907516,1,0,0,1
100,0,1,0,26.0,,1,0.42196531791907516,1,0,0,1
101,0,0,0,7.8958,,0,0.3465694898215632,1,0,0,0
103,0,0,1,77.2875,D26,1,0.2586076903744659,1,0,1,0
104,0,0,0,8.6542,,1,0.4093993465694898,1,0,0,0
105,0,2,0,7.925,,1,0.4596632319678311,1,0,0,0
106,0,0,0,7.8958,,1,0.3465694898215632,1,0,0,0
107,1,0,0,7.65,,0,0.2586076903744659,1,0,0,0
109,0,0,0,7.8958,,1,0.4722292033174164,1,0,0,0
111,0,0,0,52.0,C110,1,0.5853229454636844,1,0,1,0
112,0,1,0,14.4542,,0,0.17692887660216136,0,1,0,0
113,0,0,0,8.05,,1,0.2711736617240513,1,0,0,0
114,0,1,0,9.825,,0,0.24604171902488062,1,0,0,0
115,0,0,0,14.4583,,0,0.20834380497612465,0,1,0,0
116,0,0,0,7.925,,1,0.2586076903744659,1,0,0,0
117,0,0,0,7.75,,1,0.8806232721789394,0,0,0,0
118,0,1,0,21.0,,1,0.35913546117114853,1,0,0,1
119,0,0,1,247.5208,B58 B60,1,0.2963056044232219,0,1,1,0
120,0,4,2,31.275,,0,0.01985423473234481,1,0,0,0
121,0,2,0,73.5,,1,0.2586076903744659,1,0,0,1
123,0,1,0,30.0708,,1,0.40311636089469716,0,1,0,1
124,1,0,0,13.0,E101,0,0.40311636089469716,1,0,0,1
125,0,0,1,77.2875,D26,1,0.6732847449107816,1,0,1,0
126,1,1,0,11.2417,,1,0.14551394822819805,0,1,0,0
128,1,0,0,7.1417,,1,0.2963056044232219,1,0,0,0
130,0,0,0,6.975,,1,0.5601910027645137,1,0,0,0
131,0,0,0,7.8958,,1,0.4093993465694898,0,1,0,0
132,0,0,0,7.05,,1,0.24604171902488062,1,0,0,0
133,0,1,0,14.5,,0,0.5853229454636844,1,0,0,0
134,1,1,0,26.0,,0,0.35913546117114853,1,0,0,1
135,0,0,0,13.0,,1,0.3088715757728072,1,0,0,1
136,0,0,0,15.0458,,1,0.2837396330736366,0,1,0,1
137,1,0,2,26.2833,D47,0,0.23347574767529528,1,0,1,0
138,0,1,0,53.1,C123,1,0.4596632319678311,1,0,1,0
139,0,0,0,9.2167,,1,0.19577783362653933,1,0,0,0
140,0,0,0,79.2,B86,1,0.2963056044232219,0,1,1,0
142,1,0,0,7.75,,0,0.2711736617240513,1,0,0,0
143,1,1,0,15.85,,0,0.2963056044232219,1,0,0,0
144,0,0,0,6.75,,1,0.23347574767529528,0,0,0,0
145,0,0,0,11.5,,1,0.22090977632570996,1,0,0,1
146,0,1,1,36.75,,1,0.23347574767529528,1,0,0,1
147,1,0,0,7.7958,,1,0.33400351847197784,1,0,0,0
148,0,2,2,34.375,,0,0.10781603417944208,1,0,0,0
149,0,0,2,26.0,F2,1,0.4533802462930384,1,0,0,1
150,0,0,0,13.0,,1,0.5224930887157577,1,0,0,1
151,0,0,0,12.525,,1,0.6355868308620256,1,0,0,1
152,1,1,0,66.6,C2,0,0.2711736617240513,1,0,1,0
153,0,0,0,8.05,,1,0.6921337019351596,1,0,0,0
154,0,0,2,14.5,,1,0.5036441316913798,1,0,0,0
156,0,0,1,61.3792,,1,0.6355868308620256,0,1,1,0
157,1,0,0,7.7333,,0,0.19577783362653933,0,0,0,0
158,0,0,0,8.05,,1,0.37170143252073384,1,0,0,0
161,0,0,1,16.1,,1,0.5476250314149284,1,0,0,0
162,1,0,0,15.75,,0,0.4973611460165871,1,0,0,1
163,0,0,0,7.775,,1,0.32143754712239253,1,0,0,0
164,0,0,0,8.6625,,1,0.20834380497612465,1,0,0,0
165,0,4,1,39.6875,,1,0.007288263382759489,1,0,0,0
166,1,0,2,20.525,,1,0.10781603417944208,1,0,0,0
168,0,1,4,27.9,,0,0.5601910027645137,1,0,0,0
170,0,0,0,56.4958,,1,0.3465694898215632,1,0,0,0
171,0,0,0,33.5,B19,1,0.7612465443578789,1,0,1,0
172,0,4,1,29.125,,1,0.04498617743151546,0,0,0,0
173,1,1,1,11.1333,,0,0.007288263382759489,1,0,0,0
174,0,0,0,7.925,,1,0.2586076903744659,1,0,0,0
175,0,0,0,30.6958,A7,1,0.6984166876099522,0,1,1,0
176,0,1,1,7.8542,,1,0.22090977632570996,1,0,0,0
178,0,0,0,28.7125,C49,0,0.6230208595124404,0,1,1,0
179,0,0,0,13.0,,1,0.37170143252073384,1,0,0,1
180,0,0,0,0.0,,1,0.4470972606182458,1,0,0,0
183,0,4,2,31.3875,,1,0.10781603417944208,1,0,0,0
184,1,2,1,39.0,F4,1,0.007288263382759489,1,0,0,1
185,1,0,2,22.025,,0,0.04498617743151546,1,0,0,0
188,1,0,0,26.55,,1,0.5601910027645137,1,0,1,0
189,0,1,1,15.5,,1,0.4973611460165871,0,0,0,0
190,0,0,0,7.8958,,1,0.4470972606182458,1,0,0,0
191,1,0,0,13.0,,0,0.39683337521990447,1,0,0,1
192,0,0,0,13.0,,1,0.23347574767529528,1,0,0,1
193,1,1,0,7.8542,,0,0.23347574767529528,1,0,0,0
194,1,1,1,26.0,F2,1,0.032420206081930136,1,0,0,1
195,1,0,0,27.7208,B4,0,0.5476250314149284,0,1,1,0
196,1,0,0,146.5208,B80,0,0.7235486303091229,0,1,1,0
198,0,0,1,8.4042,,1,0.5224930887157577,1,0,0,0
200,0,0,0,13.0,,0,0.2963056044232219,1,0,0,1
201,0,0,0,9.5,,1,0.3465694898215632,1,0,0,0
203,0,0,0,6.4958,,1,0.42196531791907516,1,0,0,0
204,0,0,0,7.225,,1,0.5664739884393063,0,1,0,0
205,1,0,0,8.05,,1,0.22090977632570996,1,0,0,0
206,0,0,1,10.4625,G6,0,0.01985423473234481,1,0,0,0
207,0,1,0,15.85,,1,0.39683337521990447,1,0,0,0
208,1,0,0,18.7875,,1,0.32143754712239253,0,1,0,0
209,1,0,0,7.75,,0,0.19577783362653933,0,0,0,0
210,1,0,0,31.0,A31,1,0.4973611460165871,0,1,1,0
211,0,0,0,7.05,,1,0.2963056044232219,1,0,0,0
212,1,0,0,21.0,,0,0.43453128926866047,1,0,0,1
213,0,0,0,7.25,,1,0.2711736617240513,1,0,0,0
214,0,0,0,13.0,,1,0.37170143252073384,1,0,0,1
216,1,1,0,113.275,D36,0,0.38426740387031916,0,1,1,0
217,1,0,0,7.925,,0,0.33400351847197784,1,0,0,0
218,0,1,0,27.0,,1,0.5224930887157577,1,0,0,1
219,1,0,0,76.2917,D15,0,0.39683337521990447,0,1,1,0
220,0,0,0,10.5,,1,0.37170143252073384,1,0,0,1
221,1,0,0,8.05,,1,0.19577783362653933,1,0,0,0
222,0,0,0,13.0,,1,0.33400351847197784,1,0,0,1
223,0,0,0,8.05,,1,0.6355868308620256,1,0,0,0
225,1,1,0,90.0,C93,1,0.4722292033174164,1,0,1,0
226,0,0,0,9.35,,1,0.2711736617240513,1,0,0,0
227,1,0,0,10.5,,1,0.23347574767529528,1,0,0,1
228,0,0,0,7.25,,1,0.2523247046996733,1,0,0,0
229,0,0,0,13.0,,1,0.22090977632570996,1,0,0,1
231,1,1,0,83.475,C83,0,0.43453128926866047,1,0,1,0
232,0,0,0,7.775,,1,0.35913546117114853,1,0,0,0
233,0,0,0,13.5,,1,0.7361146016587082,1,0,0,1
234,1,4,2,31.3875,,0,0.05755214878110078,1,0,0,0
235,0,0,0,10.5,,1,0.2963056044232219,1,0,0,1
237,0,1,0,26.0,,1,0.5476250314149284,1,0,0,1
238,1,0,2,26.25,,0,0.09525006282985675,1,0,0,1
239,0,0,0,10.5,,1,0.23347574767529528,1,0,0,1
240,0,0,0,12.275,,1,0.4093993465694898,1,0,0,1
243,0,0,0,10.5,,1,0.35913546117114853,1,0,0,1
244,0,0,0,7.125,,1,0.2711736617240513,1,0,0,0
245,0,0,0,7.225,,1,0.37170143252073384,0,1,0,0
246,0,2,0,90.0,C78,1,0.5476250314149284,0,0,1,0
247,0,0,0,7.775,,0,0.3088715757728072,1,0,0,0
248,1,0,2,14.5,,0,0.2963056044232219,1,0,0,1
249,1,1,1,52.5542,D35,1,0.4596632319678311,1,0,1,0
250,0,1,0,26.0,,1,0.6732847449107816,1,0,0,1
252,0,1,1,10.4625,G6,0,0.35913546117114853,1,0,0,0
253,0,0,0,26.55,C87,1,0.7738125157074642,1,0,1,0
254,0,1,0,16.1,,1,0.37170143252073384,1,0,0,0
255,0,0,2,20.2125,,0,0.5099271173661724,1,0,0,0
256,1,0,2,15.2458,,0,0.35913546117114853,0,1,0,0
258,1,0,0,86.5,B77,0,0.37170143252073384,1,0,1,0
259,1,0,0,512.3292,,0,0.43453128926866047,0,1,1,0
260,1,0,1,26.0,,0,0.6230208595124404,1,0,0,1
262,1,4,2,31.3875,,1,0.032420206081930136,1,0,0,0
263,0,1,1,79.65,E67,1,0.648152802211611,1,0,1,0
264,0,0,0,0.0,B94,1,0.4973611460165871,1,0,1,0
266,0,0,0,10.5,,1,0.4470972606182458,1,0,0,1
267,0,4,1,39.6875,,1,0.19577783362653933,1,0,0,0
268,1,1,0,7.775,,1,0.3088715757728072,1,0,0,0
269,1,0,1,153.4625,C125,0,0.7235486303091229,1,0,1,0
270,1,0,0,135.6333,C99,0,0.43453128926866047,1,0,1,0
272,1,0,0,0.0,,1,0.3088715757728072,1,0,0,0
273,1,0,1,19.5,,0,0.5099271173661724,1,0,0,1
274,0,0,1,29.7,C118,1,0.4596632319678311,0,1,1,0
276,1,1,0,77.9583,D7,0,0.7863784870570495,1,0,1,0
277,0,0,0,7.75,,0,0.5601910027645137,1,0,0,0
279,0,4,1,29.125,,1,0.08268409148027142,0,0,0,0
280,1,1,1,20.25,,0,0.43453128926866047,1,0,0,0
281,0,0,0,7.75,,1,0.8115104297562201,0,0,0,0
282,0,0,0,7.8542,,1,0.3465694898215632,1,0,0,0
283,0,0,0,9.5,,1,0.19577783362653933,1,0,0,0
284,1,0,0,8.05,,1,0.23347574767529528,1,0,0,0
286,0,0,0,8.6625,,1,0.4093993465694898,0,1,0,0
287,1,0,0,9.5,,1,0.37170143252073384,1,0,0,0
288,0,0,0,7.8958,,1,0.2711736617240513,1,0,0,0
289,1,0,0,13.0,,1,0.5224930887157577,1,0,0,1
290,1,0,0,7.75,,0,0.2711736617240513,0,0,0,0
291,1,0,0,78.85,,0,0.32143754712239253,1,0,1,0
292,1,1,0,91.0792,B49,0,0.23347574767529528,0,1,1,0
293,0,0,0,12.875,D,1,0.4470972606182458,0,1,0,1
294,0,0,0,8.85,,0,0.2963056044232219,1,0,0,0
295,0,0,0,7.8958,,1,0.2963056044232219,1,0,0,0
297,0,0,0,7.2292,,1,0.2900226187484292,0,1,0,0
298,0,1,2,151.55,C22 C26,0,0.01985423473234481,1,0,1,0
300,1,0,1,247.5208,B58 B60,0,0.6230208595124404,0,1,1,0
303,0,0,0,0.0,,1,0.23347574767529528,1,0,0,0
306,1,1,2,151.55,C22 C26,1,0.0062829856747926615,1,0,1,0
308,1,1,0,108.9,C65,0,0.20834380497612465,0,1,1,0
309,0,1,0,24.0,,1,0.37170143252073384,0,1,0,1
310,1,0,0,56.9292,E36,0,0.37170143252073384,0,1,1,0
311,1,0,0,83.1583,C54,0,0.2963056044232219,0,1,1,0
312,1,2,2,262.375,B57 B59 B63 B66,0,0.22090977632570996,0,1,1,0
313,0,1,1,26.0,,0,0.32143754712239253,1,0,0,1
314,0,0,0,7.8958,,1,0.3465694898215632,1,0,0,0
315,0,1,1,26.25,,1,0.5350590600653431,1,0,0,1
316,1,0,0,7.8542,,0,0.32143754712239253,1,0,0,0
317,1,1,0,26.0,,0,0.2963056044232219,1,0,0,1
318,0,0,0,14.0,,1,0.6732847449107816,1,0,0,1
319,1,0,2,164.8667,C7,0,0.38426740387031916,1,0,1,0
320,1,1,1,134.5,E34,0,0.4973611460165871,0,1,1,0
321,0,0,0,7.25,,1,0.2711736617240513,1,0,0,0
322,0,0,0,7.8958,,1,0.33400351847197784,1,0,0,0
323,1,0,0,12.35,,0,0.37170143252073384,0,0,0,1
324,1,1,1,29.0,,0,0.2711736617240513,1,0,0,1
326,1,0,0,135.6333,C32,0,0.4470972606182458,0,1,1,0
327,0,0,0,6.2375,,1,0.7612465443578789,1,0,0,0
328,1,0,0,13.0,D,0,0.4470972606182458,1,0,0,1
329,1,1,1,20.525,,0,0.38426740387031916,1,0,0,0
330,1,0,1,57.9792,B18,0,0.19577783362653933,0,1,1,0
332,0,0,0,28.5,C124,1,0.5664739884393063,1,0,1,0
333,0,0,1,153.4625,C91,1,0.4722292033174164,1,0,1,0
334,0,2,0,18.0,,1,0.19577783362653933,1,0,0,0
337,0,1,0,66.6,C2,1,0.35913546117114853,1,0,1,0
338,1,0,0,134.5,E40,0,0.5099271173661724,0,1,1,0
339,1,0,0,8.05,,1,0.5601910027645137,1,0,0,0
340,0,0,0,35.5,T,1,0.5601910027645137,1,0,1,0
341,1,1,1,26.0,F2,1,0.01985423473234481,1,0,0,1
342,1,3,2,263.0,C23 C25 C27,0,0.2963056044232219,1,0,1,0
343,0,0,0,13.0,,1,0.3465694898215632,1,0,0,1
344,0,0,0,13.0,,1,0.3088715757728072,1,0,0,1
345,0,0,0,13.0,,1,0.4470972606182458,1,0,0,1
346,1,0,0,13.0,F33,0,0.2963056044232219,1,0,0,1
347,1,0,0,13.0,,0,0.4973611460165871,1,0,0,1
349,1,1,1,15.9,,1,0.032420206081930136,1,0,0,0
350,0,0,0,8.6625,,1,0.5224930887157577,1,0,0,0
351,0,0,0,9.225,,1,0.2837396330736366,1,0,0,0
353,0,1,1,7.2292,,1,0.18321186227695402,0,1,0,0
354,0,1,0,17.8,,1,0.3088715757728072,1,0,0,0
356,0,0,0,9.5,,1,0.3465694898215632,1,0,0,0
357,1,0,1,55.0,E33,0,0.2711736617240513,1,0,1,0
358,0,0,0,13.0,,0,0.4722292033174164,1,0,0,1
361,0,1,4,27.9,,1,0.4973611460165871,1,0,0,0
362,0,1,0,27.7208,,1,0.35913546117114853,0,1,0,1
363,0,0,1,14.4542,,0,0.5601910027645137,0,1,0,0
364,0,0,0,7.05,,1,0.43453128926866047,1,0,0,0
366,0,0,0,7.25,,1,0.37170143252073384,1,0,0,0
367,1,1,0,75.25,D37,0,0.7486805730082935,0,1,1,0
370,1,0,0,69.3,B35,0,0.2963056044232219,0,1,1,0
371,1,1,0,55.4417,E50,1,0.3088715757728072,0,1,1,0
372,0,1,0,6.4958,,1,0.22090977632570996,1,0,0,0
373,0,0,0,8.05,,1,0.23347574767529528,1,0,0,0
374,0,0,0,135.6333,,1,0.2711736617240513,0,1,1,0
375,0,3,1,21.075,,0,0.032420206081930136,1,0,0,0
377,1,0,0,7.25,,0,0.2711736617240513,1,0,0,0
378,0,0,2,211.5,C82,1,0.33400351847197784,0,1,1,0
379,0,0,0,4.0125,,1,0.24604171902488062,0,1,0,0
380,0,0,0,7.775,,1,0.23347574767529528,1,0,0,0
381,1,0,0,227.525,,0,0.5224930887157577,0,1,1,0
382,1,0,2,15.7417,,0,0.007288263382759489,0,1,0,0
383,0,0,0,7.925,,1,0.39683337521990447,1,0,0,0
384,1,1,0,52.0,,0,0.43453128926866047,1,0,1,0
386,0,0,0,73.5,,1,0.22090977632570996,1,0,0,1
387,0,5,2,46.9,,1,0.007288263382759489,1,0,0,0
388,1,0,0,13.0,,0,0.4470972606182458,1,0,0,1
390,1,0,0,12.0,,0,0.20834380497612465,0,1,0,1
391,1,1,2,120.0,B96 B98,1,0.4470972606182458,1,0,1,0
392,1,0,0,7.7958,,1,0.2586076903744659,1,0,0,0
393,0,2,0,7.925,,1,0.3465694898215632,1,0,0,0
394,1,1,0,113.275,D36,0,0.2837396330736366,0,1,1,0
395,1,0,2,16.7,G6,0,0.2963056044232219,1,0,0,0
396,0,0,0,7.7958,,1,0.2711736617240513,1,0,0,0
397,0,0,0,7.8542,,0,0.38426740387031916,1,0,0,0
398,0,0,0,26.0,,1,0.572756974114099,1,0,0,1
399,0,0,0,10.5,,1,0.2837396330736366,1,0,0,1
400,1,0,0,12.65,,0,0.3465694898215632,1,0,0,1
401,1,0,0,7.925,,1,0.4847951746670017,1,0,0,0
402,0,0,0,8.05,,1,0.32143754712239253,1,0,0,0
403,0,1,0,9.825,,0,0.2586076903744659,1,0,0,0
404,0,1,0,15.85,,1,0.3465694898215632,1,0,0,0
405,0,0,0,8.6625,,0,0.24604171902488062,1,0,0,0
406,0,1,0,21.0,,1,0.42196531791907516,1,0,0,1
407,0,0,0,7.75,,1,0.6355868308620256,1,0,0,0
408,1,1,1,18.75,,1,0.032420206081930136,1,0,0,1
409,0,0,0,7.775,,1,0.2586076903744659,1,0,0,0
413,1,1,0,90.0,C78,0,0.4093993465694898,0,0,1,0
415,1,0,0,7.925,,1,0.5476250314149284,1,0,0,0
417,1,1,1,32.5,,0,0.42196531791907516,1,0,0,1
418,1,0,2,13.0,,0,0.22090977632570996,1,0,0,1
419,0,0,0,13.0,,1,0.37170143252073384,1,0,0,1
420,0,0,2,24.15,,0,0.12038200552902739,1,0,0,0
422,0,0,0,7.7333,,1,0.2586076903744659,0,0,0,0
423,0,0,0,7.875,,1,0.35913546117114853,1,0,0,0
424,0,1,1,14.4,,0,0.3465694898215632,1,0,0,0
425,0,1,1,20.2125,,1,0.22090977632570996,1,0,0,0
427,1,1,0,26.0,,0,0.3465694898215632,1,0,0,1
428,1,0,0,26.0,,0,0.23347574767529528,1,0,0,1
430,1,0,0,8.05,E10,1,0.39683337521990447,1,0,0,0
431,1,0,0,26.55,C52,1,0.3465694898215632,1,0,1,0
433,1,1,0,26.0,,0,0.5224930887157577,1,0,0,1
434,0,0,0,7.125,,1,0.20834380497612465,1,0,0,0
435,0,1,0,55.9,E44,1,0.6230208595124404,1,0,1,0
436,1,1,2,120.0,B96 B98,0,0.17064589092736868,1,0,1,0
437,0,2,2,34.375,,0,0.2586076903744659,1,0,0,0
438,1,2,3,18.75,,0,0.2963056044232219,1,0,0,1
439,0,1,4,263.0,C23 C25 C27,1,0.7989444584066349,1,0,1,0
440,0,0,0,10.5,,1,0.38426740387031916,1,0,0,1
441,1,1,1,26.25,,0,0.5601910027645137,1,0,0,1
442,0,0,0,9.5,,1,0.24604171902488062,1,0,0,0
443,0,1,0,7.775,,1,0.3088715757728072,1,0,0,0
